Numer,Producent ,Model ,friendlyName
KW-01,Pyranha,,Tylna
KW-02,PeakUK,,Tylna
KW-03,Prijon,,Tylna
KW-04,WaterElement,,Tylna
KW-05,WaterElement,,Tylna
KW-06,WaterElement,,Tylna
KW-07,Prijon,,Tylna
KW-08,Hiko,,Tylna
KW-09,Hiko,,Tylna
KW-10,,Ponton,Przednia
KW-11,Pyranha,,Tylna
KW-12,Prijon,,Przednia
KW-13,Hiko,,Tylna
KW-14,Hiko,,Tylna
KW-15,PeakUK,STERN,Tylna
KW-16,PeakUK,STERN,Tylna
KW-17,PeakUK,STERN,Tylna
KW-18,PeakUK,STERN,Tylna
KW-19,PeakUK,STERN,Tylna
KW-20,PeakUK,STERN,Tylna
KW-21,PeakUK,STERN,Tylna
KW-22,WaterElement,,Tylna
KW-23,PeakUK,STERN,Tylna
KW-24,PeakUK,STERN,Tylna
KW-25,PeakUK,STERN,Tylna
KW-26,PeakUK,STERN,Tylna
KW-27,Vodak sport,,Tylna
KW-28,Z̦lzer,,Tylna
KW-29,,,Tylna
